T4 Fan Factor,T3 Fan Factor,T2 Fan Factor,T1 Fan Factor
58,61,63,57
58,65,61,58
57,64,59,61
55,60,60,64
55,57,62,66
56,54,64,66
59,55,67,64
62,57,68,62
64,59,67,61
63,58,64,60
61,53,59,59
56,47,54,59
53,44,51,59
50,47,51,61
50,54,54,64
52,64,58,66
54,73,60,69
56,78,61,69
56,79,60,69
55,77,59,67
54,72,59,65
54,65,61,64
55,58,62,64
56,50,62,63
56,44,62,61
56,40,61,59
54,39,61,56
54,40,62,54
55,42,63,53
57,43,62,53
59,43,61,54
60,43,58,54
59,44,56,54
57,46,55,52
56,50,56,50
55,54,59,49
56,57,61,52
57,60,61,56
56,62,60,61
55,64,57,66
53,65,55,67
52,64,55,66
53,61,56,64
56,58,58,62
59,58,58,60
62,62,56,60
64,68,53,60
63,73,52,61
60,74,54,60
58,71,58,59
56,66,62,58
55,59,64,58
55,53,63,58
56,49,61,59
57,49,59,60
59,53,60,62
60,59,62,63
62,68,66,64
64,76,69,65
64,81,70,66
63,79,68,68
61,69,63,68
60,55,59,68
60,41,55,66
62,33,54,63
64,32,56,60
64,39,60,57
63,47,63,56
59,53,66,57
55,53,67,58
51,48,66,61
49,40,65,62
50,34,64,63
52,33,65,62
54,38,65,59
56,49,66,54
57,61,66,49
57,68,64,45
57,67,62,44
58,60,61,46
59,50,60,52
60,44,59,58
61,45,59,61
60,54,59,62
59,68,59,60
57,83,60,59
54,93,62,60
53,95,64,63
51,88,64,67
51,75,64,69
51,62,63,68
52,56,62,65
54,57,60,61
57,64,58,57
60,71,57,55
62,72,56,54
60,67,57,53
57,58,59,54
53,50,63,57
50,48,68,60
49,52,71,63
52,59,71,64
55,65,69,63
59,68,64,60
60,68,60,58
60,65,57,56
59,62,56,55
58,58,58,56
56,54,60,56
55,48,63,57
54,44,66,57
54,42,68,57
55,42,69,57
56,43,69,57
56,44,67,58
56,46,64,60
56,49,62,64
56,53,59,68
57,56,58,70
58,58,58,70
60,61,59,66
61,64,61,62
61,69,63,59
60,74,64,60
58,74,63,65
57,69,61,70
56,60,59,73
57,54,56,71
58,54,54,65
58,60,53,57
58,69,54,50
57,74,56,47
56,70,59,48
54,61,61,51
54,52,63,55
55,48,62,57
58,51,59,58
60,57,55,59
60,62,52,60
60,63,51,61
58,57,53,62
57,49,57,63
57,40,62,61
57,36,66,60
57,38,67,59
57,45,66,62
56,54,64,65
54,61,62,68
53,66,62,68
53,67,62,65
54,67,62,62
55,67,62,61
55,67,61,63
55,66,60,66
55,63,58,67
55,59,57,65
54,54,57,61
54,50,58,57
55,47,61,56
56,47,63,57
58,49,64,61
60,51,62,64
62,53,58,66
63,56,54,65
63,58,52,61
62,60,54,58
61,60,59,55
59,57,63,54
59,52,66,56
58,44,65,58
58,38,61,61
57,35,57,62
57,39,55,61
56,46,57,60
56,54,61,58
56,59,66,57
57,59,68,59
57,57,67,63
57,55,62,67
58,56,57,70
58,60,53,69
58,63,53,65
58,65,57,58
57,65,63,53
56,64,66,52
54,64,67,53
52,63,65,56
51,62,63,59
52,58,61,59
54,50,62,58
57,42,64,56
59,36,66,55
60,35,68,55
60,41,69,56
58,51,68,58
56,60,67,60
54,64,66,63
52,61,65,65
52,55,64,65
53,53,63,63
55,56,61,59
58,63,60,55
60,71,60,53
60,77,60,53
59,78,61,56
57,77,62,59
56,74,64,62
55,70,65,63
55,66,65,62
57,64,65,61
58,62,63,60
59,60,61,60
59,57,59,60
57,53,57,59
56,50,56,57
55,52,57,56
56,59,60,55
58,66,63,55
60,70,65,58
60,66,66,61
59,55,64,64
57,42,61,65
57,35,57,63
58,38,55,59
59,50,56,54
61,65,59,52
61,76,62,54
59,77,63,61
58,68,62,68
57,55,59,72
59,45,54,72
61,44,51,67
63,52,50,59
64,63,52,52
61,70,56,48
57,70,61,49
53,62,65,52
51,52,66,57
52,46,65,61
55,47,63,65
59,56,61,67
61,67,59,68
62,75,59,68
62,76,60,68
60,69,61,68
59,59,62,68
59,50,63,66
59,47,63,63
60,51,63,59
60,60,62,55
60,70,60,53
59,76,60,53
59,75,59,56
58,68,60,60
59,57,61,63
60,47,62,65
61,41,63,66
61,41,63,65
60,45,63,64
58,50,63,62
57,53,62,60
56,53,60,59
56,50,59,57
56,49,58,56
55,51,58,56
54,59,58,56
53,68,59,57
52,75,59,58
52,74,59,59
53,68,59,61
54,58,60,64
56,50,61,66
56,48,63,68
56,50,63,67
54,54,62,64
53,58,60,60
52,58,58,56
52,56,57,54
53,55,56,55
55,56,57,58
57,60,59,60
59,64,60,61
60,66,62,60
59,65,62,58
57,61,63,57
55,58,62,56
53,59,61,56
53,64,59,56
55,71,58,57
58,76,57,59
60,75,57,63
61,68,59,65
60,59,61,66
58,53,64,64
55,53,66,61
53,57,67,59
53,60,66,57
52,60,65,56
52,54,64,55
52,45,65,54
51,37,67,54
51,32,69,55
51,33,69,58
51,38,68,60
52,45,65,60
51,53,61,60
51,58,59,59
50,62,59,58
51,62,60,57
54,60,62,57
58,55,64,57
62,49,64,57
64,43,62,56
64,40,59,55
61,43,56,55
58,50,55,56
57,59,56,57
57,67,58,60
59,69,61,62
61,67,63,63
62,63,64,62
62,58,63,61
60,54,61,60
58,52,58,60
57,50,55,60
57,52,53,59
57,55,53,59
58,60,56,59
58,63,60,59
56,63,66,61
54,60,70,63
51,57,73,65
50,59,71,66
52,64,67,67
54,71,61,66
57,75,56,65
60,76,53,64
61,75,53,64
62,77,54,66
61,81,57,68
60,85,59,71
58,84,61,72
57,76,63,71
57,60,65,68
58,42,66,64
60,28,65,61
62,22,63,59
63,25,61,60
63,35,59,61
62,47,59,63
60,56,60,64
59,59,61,64
57,56,61,63
56,50,60,60
55,46,59,57
55,46,59,54
56,51,59,53
58,58,61,53
60,64,63,55
61,67,65,58
62,68,65,61
63,69,63,64
64,70,60,64
63,69,57,63
61,65,56,60
58,59,58,57
55,53,60,55
54,52,62,54
54,57,64,54
54,67,64,54
55,79,63,52
54,87,62,51
53,85,61,51
53,74,61,52
53,56,63,56
55,39,66,60
57,27,68,61
59,24,68,60
61,28,65,58
61,33,61,56
59,38,56,55
57,42,54,57
55,47,55,59
54,53,59,61
54,60,64,61
56,62,67,60
58,59,66,60
60,52,64,60
62,46,60,62
62,45,57,63
61,52,55,64
60,65,57,63
58,79,60,60
56,88,64,57
54,89,67,56
53,80,66,58
53,66,62,62
54,52,56,67
56,42,52,69
57,41,51,67
58,47,52,63
58,57,56,58
57,67,59,55
55,72,60,54
53,71,59,54
53,64,58,54
54,55,58,54
57,48,60,54
59,48,63,56
61,54,66,61
60,63,67,66
57,70,65,69
53,71,62,68
51,66,60,64
52,58,60,58
55,53,61,54
58,52,62,53
60,52,61,55
61,52,59,58
60,50,57,60
58,50,57,61
57,53,59,62
58,61,62,62
58,69,64,64
59,73,65,66
58,70,65,68
57,62,65,69
57,52,64,68
57,44,64,65
57,40,63,62
58,40,63,60
58,44,63,59
57,48,63,59
56,52,63,60
54,55,62,59
53,55,61,59
53,54,58,58
53,52,56,58
54,51,56,59
55,51,57,59
57,52,59,57
58,52,62,53
58,51,64,50
57,51,65,49
56,50,65,51
55,51,65,58
54,51,63,66
53,53,61,72
53,55,59,73
54,60,59,69
54,65,60,63
54,70,62,59
54,72,63,59
54,70,63,63
54,63,61,66
55,56,60,66
57,51,60,62
59,50,61,57
61,52,63,54
61,54,65,55
60,54,66,59
58,54,65,63
56,55,64,66
54,57,62,65
54,59,62,60
54,60,62,55
56,59,62,51
57,58,61,50
58,60,61,52
59,66,61,56
59,74,62,59
60,81,63,60
60,81,63,59
61,73,62,59
62,61,60,60
63,51,58,62
63,46,57,64
63,47,57,66
63,52,57,65
62,58,57,62
61,63,57,57
59,67,59,53
57,70,60,52
56,72,62,53
55,70,64,56
55,65,64,60
55,57,63,62
55,50,61,62
55,47,59,62
55,53,57,62
55,67,56,62
56,84,55,63
57,96,54,64
58,96,54,65
59,83,56,65
59,62,59,64
59,43,63,64
58,34,66,63
56,38,67,61
55,49,65,59
54,60,61,57
54,66,58,55
55,65,58,56
57,60,60,59
58,56,63,62
58,55,65,65
55,57,67,66
53,60,66,64
52,62,65,62
54,61,63,60
58,57,61,60
62,51,58,61
64,45,56,61
63,43,55,60
59,45,56,59
56,52,58,58
55,61,60,60
56,68,62,63
58,68,62,66
60,62,62,67
61,50,61,66
61,39,61,62
60,33,61,59
59,33,62,56
58,40,62,56
56,48,62,58
54,54,60,61
53,56,58,65
53,56,55,68
54,53,54,69
56,49,54,67
58,45,55,65
60,41,58,63
60,38,61,61
60,39,64,61
59,45,65,60
56,55,63,57
53,67,61,54
50,76,59,50
50,77,59,48
51,71,60,50
54,61,62,55
57,53,63,62
59,49,64,66
59,48,64,67
58,48,63,64
57,48,63,58
55,49,62,55
55,54,62,55
57,61,62,58
58,68,63,61
60,72,65,62
60,72,65,60
59,69,64,55
56,67,62,51
53,67,59,49
51,69,56,51
51,71,56,55
53,70,57,60
56,66,60,65
59,59,62,68
61,54,64,69
62,51,63,68
62,52,62,64
61,56,60,60
59,61,59,58
58,65,61,57
56,69,64,58
54,73,67,59
52,76,70,59
52,74,71,58
52,67,69,57
