T4 Fan Factor,T3 Fan Factor,T2 Fan Factor,T1 Fan Factor
48,84,57,53
49,76,56,55
51,64,57,59
56,52,58,63
60,44,61,65
63,40,63,64
64,40,63,62
63,43,62,58
61,48,60,55
60,52,58,54
58,54,58,54
56,53,58,56
54,51,59,57
52,51,59,56
51,54,58,54
50,58,58,51
50,61,58,49
52,57,61,50
54,47,64,54
56,38,69,60
58,34,71,64
59,41,71,66
60,57,69,64
60,76,65,62
59,91,61,60
59,94,58,61
58,85,57,65
58,69,57,69
57,53,57,71
57,44,58,70
57,44,59,65
57,51,61,59
56,57,64,55
54,59,66,55
53,56,67,58
52,51,66,63
52,48,64,68
53,49,61,71
54,55,58,71
54,62,56,69
55,67,55,66
56,67,55,65
56,62,55,64
57,55,57,63
57,47,58,62
57,43,60,59
57,44,63,55
56,50,65,52
55,59,67,51
55,67,68,53
55,71,68,56
56,70,67,59
58,68,67,61
60,67,66,61
62,71,66,61
63,78,65,62
64,86,63,64
62,88,61,66
59,83,59,67
55,70,58,66
52,57,60,62
50,47,63,57
51,48,66,53
54,58,68,52
59,73,68,54
63,85,66,58
65,90,65,62
65,84,64,64
62,70,63,64
58,54,61,64
55,44,59,62
54,43,56,60
54,50,54,57
56,59,54,55
57,65,56,52
58,64,59,50
56,58,62,50
52,48,63,52
50,40,62,56
49,35,60,60
51,35,57,63
54,38,55,62
57,43,54,60
59,49,55,58
57,55,56,58
55,59,58,59
52,61,60,61
51,63,62,62
51,63,63,62
53,62,64,60
55,61,64,57
56,60,65,55
55,60,65,55
54,64,65,56
52,70,65,57
53,76,63,57
55,80,61,57
59,80,59,57
62,75,57,57
64,68,57,58
62,59,59,59
57,52,61,59
52,48,63,59
47,48,64,59
44,50,65,61
45,53,64,64
47,51,62,67
51,46,61,68
55,37,60,68
57,29,60,68
58,26,60,66
58,27,61,65
58,33,61,63
58,40,61,62
59,46,61,61
61,48,62,62
62,50,64,63
61,53,65,63
59,60,66,62
55,69,65,59
52,78,62,57
50,82,59,56
50,79,56,58
51,71,55,61
53,61,56,64
55,54,58,65
55,52,61,63
55,54,63,60
54,57,63,57
54,60,61,56
54,59,60,57
56,57,60,59
58,54,60,62
61,54,60,63
63,56,60,64
65,58,59,64
64,57,57,63
62,51,54,64
57,42,50,64
53,32,48,65
49,26,49,66
49,26,53,66
50,33,58,66
53,44,63,66
56,57,66,65
59,65,67,63
60,65,66,60
61,59,65,56
61,49,64,52
62,42,63,49
61,40,63,48
60,45,65,49
57,52,67,51
54,59,68,55
51,62,69,58
49,62,68,61
50,59,66,63
53,59,64,64
57,60,64,63
61,63,64,60
61,65,64,57
59,64,63,54
56,61,61,52
55,57,58,52
55,54,56,54
57,55,55,55
59,59,56,57
60,63,58,57
59,68,60,58
56,71,62,58
53,73,63,57
52,74,64,57
51,74,64,57
51,73,64,57
52,71,63,58
53,67,60,61
55,64,58,64
58,61,57,66
60,59,57,67
61,59,60,66
60,58,64,64
57,57,66,62
53,56,67,60
51,57,65,60
50,60,63,60
51,63,60,61
54,65,58,61
57,63,57,62
58,59,56,64
57,56,56,65
54,58,57,66
52,64,58,65
51,72,59,63
50,76,60,60
51,72,61,58
52,61,62,57
53,50,63,56
56,45,64,56
58,49,65,55
59,63,65,54
59,78,65,53
56,88,64,54
54,87,63,57
52,79,61,61
53,68,59,65
55,61,58,67
57,61,57,67
57,63,57,64
56,65,57,59
54,62,58,54
52,56,59,53
52,50,61,56
53,47,63,62
54,49,64,68
54,53,64,71
53,55,63,69
53,53,61,63
53,48,59,57
56,44,58,53
59,42,56,54
62,43,56,58
64,44,56,64
65,44,57,70
64,45,59,72
63,46,61,71
62,50,62,67
62,54,61,62
61,58,60,58
60,59,59,56
58,56,59,57
57,51,61,59
57,46,64,62
57,45,67,62
58,47,68,60
59,54,65,56
59,62,60,54
60,68,54,53
60,68,50,53
60,63,49,54
60,54,51,55
60,47,54,56
60,45,58,58
61,49,60,61
62,57,61,63
62,63,62,64
60,65,62,65
57,59,62,64
53,49,62,64
51,40,62,65
51,36,61,66
53,39,60,66
55,48,60,63
57,57,60,58
58,63,61,52
56,64,62,49
54,61,64,50
53,58,65,53
54,58,66,58
57,62,66,62
59,67,66,64
61,70,66,63
62,69,66,60
61,64,66,58
60,59,66,57
59,56,66,57
58,56,65,59
57,57,64,61
55,56,62,63
54,53,62,64
53,49,61,63
53,48,60,62
53,51,60,59
52,59,59,55
50,67,58,52
47,72,59,52
46,71,60,53
48,65,62,57
53,58,65,60
57,56,67,61
60,60,67,60
60,68,66,57
57,75,64,53
54,78,61,52
52,76,60,53
52,71,60,55
55,66,61,56
59,64,64,56
61,66,66,55
62,69,67,54
60,67,66,55
56,61,64,60
52,50,60,65
50,40,57,69
51,34,56,71
53,36,56,69
56,44,59,66
58,52,63,64
58,56,66,65
57,54,68,68
55,50,67,69
53,47,64,69
52,49,60,66
52,54,57,62
52,59,56,60
54,59,57,61
57,55,60,63
59,50,63,66
61,48,65,68
62,52,67,67
60,60,66,63
58,68,65,59
55,74,62,57
52,73,60,57
52,67,57,58
54,59,55,59
56,52,56,58
57,48,58,56
57,49,61,53
55,53,64,52
54,60,65,53
53,68,64,56
53,74,62,59
54,77,60,62
53,73,59,64
52,64,59,64
51,52,59,63
50,44,59,61
51,45,58,60
54,54,55,59
56,66,53,59
58,75,51,59
59,74,51,60
58,62,52,60
56,44,54,59
54,28,57,59
52,20,60,59
51,21,63,61
51,31,65,63
52,44,66,64
56,55,65,62
61,62,64,59
65,66,63,55
67,68,62,53
66,71,62,54
63,72,61,57
59,70,62,62
56,65,62,64
55,56,63,65
56,47,63,64
58,40,61,63
60,37,58,62
60,37,54,64
59,39,51,65
57,41,51,66
55,42,53,65
55,45,58,62
55,51,63,57
56,59,66,53
55,68,66,51
54,73,64,53
52,72,60,58
51,67,59,64
52,60,60,68
55,54,63,69
59,53,66,67
63,56,67,65
64,63,66,64
62,69,62,64
58,74,59,66
54,73,57,66
51,67,58,65
51,59,59,61
53,53,59,57
54,51,59,55
54,54,57,56
53,62,57,58
51,70,57,61
50,77,59,63
50,80,61,64
