T4 Fan Factor,T3 Fan Factor,T2 Fan Factor,T1 Fan Factor
63,23,64,62
62,35,63,65
61,53,60,66
59,69,57,66
57,79,57,65
56,79,60,63
55,72,65,62
53,63,68,61
53,56,69,61
54,52,66,62
56,51,61,63
58,49,56,64
60,46,54,64
61,46,55,64
60,49,58,62
59,56,61,60
58,67,63,58
57,77,63,56
57,83,63,54
56,84,63,54
56,79,63,55
55,71,63,57
56,63,62,60
57,56,60,62
60,51,58,64
61,50,56,64
61,52,56,63
59,57,57,59
56,65,58,54
54,73,60,49
54,75,61,46
56,71,60,45
59,60,58,48
61,48,55,52
62,39,54,57
60,40,55,60
58,47,58,61
56,58,62,60
55,65,64,59
55,66,63,59
57,61,61,61
58,53,59,63
58,47,59,65
57,47,63,65
56,52,67,63
57,58,71,61
58,60,71,60
59,58,68,60
60,54,63,60
58,55,59,60
56,61,57,58
55,70,58,56
56,76,62,56
59,75,67,56
63,65,70,59
65,51,70,61
64,41,66,63
61,40,61,64
57,48,57,64
53,59,55,63
53,69,58,63
56,75,63,64
60,76,68,66
62,76,70,65
61,75,70,63
59,72,67,58
56,67,64,53
54,60,61,51
54,52,60,53
55,46,60,57
57,43,60,63
59,42,59,67
61,43,57,69
62,44,55,67
61,49,54,64
60,55,54,60
59,62,56,56
58,66,58,56
58,65,60,59
58,60,61,66
58,53,62,74
58,50,61,80
58,54,60,82
57,63,58,77
56,73,56,69
57,80,54,60
58,81,55,53
59,76,57,49
59,66,62,49
59,56,67,52
58,50,70,55
58,51,71,57
58,57,68,58
59,66,63,57
60,72,58,57
60,73,55,57
60,68,54,59
60,62,56,63
60,58,60,66
60,59,64,67
58,63,65,65
56,68,65,61
54,69,64,58
53,67,62,56
53,63,61,56
56,60,60,57
58,60,60,57
59,62,59,56
59,63,59,55
57,60,58,54
56,52,58,55
55,44,57,58
56,39,55,63
57,38,52,66
58,41,51,67
58,41,52,66
57,38,55,64
56,34,58,62
56,31,59,60
56,35,57,60
57,45,56,60
56,56,56,60
55,62,61,59
54,60,67,57
54,53,71,56
54,44,72,56
56,40,68,57
57,41,62,60
58,45,58,63
58,48,57,64
55,50,58,63
53,50,61,60
50,51,63,55
50,53,63,52
52,57,61,50
54,59,59,50
57,60,59,52
57,60,61,55
56,60,63,58
54,62,66,59
54,65,68,59
56,66,68,59
59,65,68,59
62,61,67,60
63,58,66,60
62,57,65,60
60,58,64,59
57,61,62,59
56,63,60,59
56,62,58,59
57,60,57,59
59,56,57,59
59,51,58,58
59,46,59,58
58,41,59,58
57,36,59,57
56,34,60,56
55,35,61,55
54,42,63,54
54,51,65,54
54,61,65,54
55,68,64,55
56,68,62,57
57,65,60,58
57,59,60,59
57,57,60,60
57,60,62,60
56,66,63,62
56,73,64,64
57,75,64,67
58,72,64,67
59,65,65,66
60,59,66,62
60,57,66,59
59,58,65,58
56,61,63,59
54,62,61,62
52,58,58,65
53,55,55,66
56,54,53,66
59,59,53,65
61,68,55,63
61,78,59,62
59,85,63,61
57,86,65,61
56,81,66,60
57,70,65,59
59,58,63,59
61,49,62,59
62,47,62,60
61,53,63,61
58,62,62,62
55,71,59,62
54,74,55,60
55,71,51,57
58,65,49,54
62,59,51,54
65,56,56,57
65,54,62,62
63,54,66,67
60,55,68,71
57,58,67,71
55,62,65,69
55,67,63,63
55,68,60,58
56,64,58,55
55,57,56,54
55,50,54,56
54,48,54,59
53,51,55,62
53,57,57,63
54,62,59,62
56,62,61,61
58,59,62,58
61,56,63,57
63,55,63,56
63,58,63,56
61,61,62,58
58,61,61,60
57,57,61,63
58,50,60,65
59,43,60,66
61,39,60,66
61,40,61,65
61,46,63,64
61,54,65,62
61,62,68,60
61,66,69,59
62,64,68,58
61,56,65,59
58,46,62,61
56,37,59,63
55,33,58,66
56,32,59,68
60,36,61,69
64,41,63,69
68,48,64,68
68,54,63,65
65,59,61,63
59,61,60,61
53,62,59,59
50,62,60,58
50,62,61,59
53,63,62,60
56,64,62,61
57,67,61,61
57,70,60,62
55,73,60,62
54,72,60,61
55,67,59,61
57,60,59,62
59,53,59,64
59,50,59,66
58,51,60,67
56,56,63,67
55,63,66,63
56,69,70,58
58,72,72,53
61,69,72,50
62,61,70,48
62,51,66,49
60,45,61,51
57,45,56,54
55,50,54,56
53,57,54,58
54,60,56,59
55,60,58,59
57,60,60,58
58,60,61,58
59,60,62,58
58,58,63,58
58,53,64,57
58,47,65,56
59,44,63,54
60,46,60,54
60,52,55,56
59,57,51,59
57,59,50,61
56,55,52,62
55,48,55,60
55,41,58,58
56,38,60,56
57,39,60,56
58,42,61,60
58,46,63,64
56,53,65,67
53,61,66,67
51,68,66,65
50,72,63,62
50,69,59,60
52,61,55,60
55,52,54,61
59,46,56,62
62,49,59,62
65,56,63,60
67,65,67,59
67,71,68,57
65,73,66,56
60,72,63,55
54,73,60,55
49,74,58,56
47,72,59,58
49,65,60,63
53,54,63,67
58,42,64,70
61,37,65,69
62,45,64,65
60,61,64,60
58,77,64,55
56,85,65,53
55,82,65,54
55,72,64,57
55,62,62,60
54,59,60,62
53,63,60,62
53,70,61,61
53,74,62,58
55,71,64,55
57,63,64,53
59,51,64,53
59,43,63,54
59,40,62,55
57,45,61,57
56,52,62,58
56,57,64,59
56,58,65,58
57,54,64,56
57,48,63,54
57,44,61,53
58,43,60,53
59,46,60,55
60,52,59,58
62,56,58,61
62,59,56,63
63,60,54,64
62,62,53,63
60,64,55,61
58,67,59,61
55,67,63,63
53,66,66,67
53,63,67,71
55,61,66,74
58,60,62,73
60,62,59,69
61,64,56,63
60,66,54,57
58,66,54,52
57,66,55,51
57,65,56,53
57,65,58,56
58,66,59,59
57,66,60,60
55,63,59,59
53,56,58,58
53,45,56,58
56,36,55,59
61,32,55,62
66,37,56,63
67,50,56,64
65,64,56,63
59,74,56,62
53,76,57,61
51,71,58,61
52,62,62,61
55,56,66,60
59,53,70,60
60,54,72,59
59,55,71,58
57,54,68,57
56,51,64,56
58,50,61,56
60,50,60,56
62,52,61,58
62,54,62,60
59,54,63,61
57,52,63,60
55,51,61,58
55,51,58,54
57,54,57,53
59,58,58,54
61,61,63,57
62,63,68,61
62,65,72,64
62,66,71,64
61,66,66,62
60,63,60,59
59,55,55,56
57,42,54,55
55,29,56,55
54,20,59,58
53,22,62,61
53,35,62,65
54,55,61,68
55,75,61,68
57,86,62,66
58,85,64,63
59,73,65,61
58,59,63,60
56,50,59,61
54,50,54,61
52,58,50,61
52,68,49,60
53,74,51,60
55,73,55,61
57,66,59,63
58,57,63,65
60,50,66,64
61,49,67,61
61,55,67,58
60,62,67,55
58,68,66,55
56,70,65,56
55,68,63,59
56,64,61,61
58,59,59,63
59,56,58,64
58,55,59,65
56,55,59,65
55,54,60,64
56,54,61,62
59,55,62,61
61,57,64,61
62,57,65,63
61,54,66,66
57,47,65,70
54,38,64,71
53,31,62,70
53,30,61,67
56,36,61,64
58,46,62,64
58,58,64,65
56,66,65,68
53,69,65,69
51,66,63,67
51,60,60,62
52,54,59,58
56,55,60,56
59,63,61,58
62,75,62,61
63,84,62,64
62,83,61,64
60,72,60,62
57,55,59,58
55,40,60,54
54,34,62,53
55,37,63,54
58,46,64,57
60,54,63,60
60,57,61,60
60,56,59,59
58,53,58,57
56,52,58,56
54,54,59,56
54,59,59,57
56,63,59,58
59,63,58,58
61,60,57,59
61,54,56,59
61,51,56,59
60,51,57,57
59,57,59,54
60,65,61,51
62,72,63,49
63,74,65,51
62,69,66,57
60,57,66,64
56,45,64,68
54,38,62,68
54,39,60,63
55,47,60,57
58,58,61,51
60,69,63,50
62,76,65,53
63,77,65,59
62,73,66,63
61,67,65,65
60,60,64,64
58,53,63,61
56,50,61,58
56,52,60,56
55,57,59,56
55,64,60,56
55,68,62,56
55,68,63,56
56,63,61,55
59,56,59,55
61,51,55,56
63,50,54,57
63,55,55,58
60,64,59,58
56,72,65,58
53,75,68,58
53,72,69,60
55,65,66,62
58,57,62,64
61,52,57,65
61,53,54,65
59,54,53,63
57,55,55,61
55,52,58,58
54,47,61,58
54,44,63,59
55,46,64,63
56,50,65,67
55,54,65,70
54,55,65,70
53,53,64,67
52,51,62,63
52,50,59,59
53,55,58,56
54,63,59,55
56,72,62,56
58,78,65,58
59,80,67,59
60,78,66,59
59,73,63,59
59,65,59,58
60,58,57,59
61,51,57,61
63,48,60,64
63,48,63,65
61,49,64,65
58,52,63,64
55,54,59,62
55,55,56,59
56,55,54,56
60,55,54,54
63,54,56,52
65,51,58,50
64,48,60,50
62,46,61,53
59,47,61,57
57,51,61,61
56,57,61,65
56,62,61,67
56,64,60,67
55,62,59,65
53,57,58,62
52,50,57,59
52,45,58,57
54,45,60,57
56,50,62,58
57,59,63,60
58,67,63,60
57,69,61,58
57,65,59,54
57,57,58,51
58,51,59,49
59,51,61,50
59,57,64,54
59,65,66,57
58,72,68,60
56,75,67,61
55,73,64,62
55,70,61,62
56,66,57,62
58,62,56,62
60,58,56,62
62,54,58,61
62,50,61,61
60,48,63,62
58,50,64,63
57,55,62,65
56,63,59,65
56,71,57,64
58,76,56,61
58,77,57,59
58,73,60,58
57,68,64,58
56,63,66,58
55,59,66,59
55,56,64,60
56,53,62,62
57,51,61,64
57,49,61,67
56,49,64,68
54,51,66,67
54,51,67,64
55,51,66,60
57,50,64,56
59,47,61,53
61,45,60,51
61,44,60,51
60,44,60,52
58,46,61,53
55,49,61,56
53,51,60,58
51,51,60,60
51,48,60,61
51,44,60,61
53,42,60,60
57,45,60,57
60,50,60,56
63,58,59,55
65,65,60,58
64,69,60,62
62,71,60,66
59,69,60,68
56,66,61,67
55,63,62,65
55,65,63,63
56,71,64,62
58,79,63,62
59,84,61,63
59,82,59,63
58,70,58,62
57,53,58,61
56,38,58,60
56,32,59,60
57,37,60,61
59,49,61,63
