T4 Fan Factor,T3 Fan Factor,T2 Fan Factor,T1 Fan Factor
56,53,62,71
56,63,61,70
56,73,60,68
57,78,59,64
58,75,57,60
58,66,57,58
56,54,57,59
54,46,59,63
53,42,61,68
52,44,63,71
53,47,63,69
54,50,61,64
56,52,58,57
58,54,55,52
59,57,55,51
60,60,57,52
60,62,61,55
59,61,63,58
58,57,64,60
57,52,62,61
57,47,59,63
58,46,55,64
60,48,53,66
62,53,53,66
63,58,55,65
62,58,57,62
59,55,58,60
55,48,57,60
53,43,56,61
53,43,55,63
55,49,56,64
59,59,59,62
61,68,62,59
62,72,65,56
62,70,65,55
60,66,65,58
58,61,64,63
57,58,64,68
56,58,65,71
56,62,68,71
57,67,69,69
58,73,69,65
59,76,67,61
60,76,64,58
60,72,63,55
59,67,62,53
60,61,61,52
60,55,62,51
60,51,62,51
58,48,63,53
55,48,64,55
51,50,63,58
48,54,60,60
47,58,56,58
50,61,51,55
54,63,49,53
57,64,52,54
59,63,58,59
59,63,64,65
57,62,68,69
55,62,68,69
54,63,66,66
55,65,63,62
57,66,61,60
58,65,60,60
58,62,60,62
57,57,60,64
56,51,60,64
56,45,60,64
57,42,60,64
58,43,62,65
60,47,64,66
60,53,66,66
59,59,66,65
58,63,65,64
57,62,63,63
57,58,61,61
57,52,60,59
59,49,61,56
60,51,64,55
60,59,66,54
59,69,68,55
58,75,67,57
57,73,65,60
57,61,64,61
58,45,64,61
60,31,65,59
62,25,65,57
61,28,64,56
60,39,61,56
57,53,56,58
55,63,54,60
54,65,55,62
55,60,58,63
56,52,61,62
57,47,62,60
57,49,60,59
56,56,56,60
54,64,53,61
53,67,51,63
55,65,51,63
58,60,53,61
62,57,56,59
65,57,58,56
65,60,59,55
62,62,60,54
59,63,59,54
55,61,57,55
54,56,55,56
53,51,54,57
54,48,55,57
55,47,58,57
57,51,62,56
58,57,65,54
59,63,64,53
59,66,61,53
58,64,56,55
58,56,51,58
57,45,49,60
57,35,52,61
57,32,57,60
57,37,62,58
56,48,65,55
54,59,65,53
53,65,64,50
52,62,63,50
53,52,64,51
55,42,66,55
58,37,67,60
61,40,68,64
62,50,66,66
62,60,64,65
60,64,62,63
56,60,63,60
53,49,65,58
52,40,68,57
53,37,69,59
57,44,67,62
62,56,64,67
65,69,60,70
66,75,57,72
62,74,56,70
57,69,57,66
52,65,59,62
50,66,61,58
51,71,63,56
55,79,65,56
58,86,65,57
59,87,63,59
58,82,59,62
55,71,56,64
53,59,54,65
51,52,55,65
52,52,59,63
54,58,64,60
56,67,69,57
56,73,72,55
56,75,71,55
56,71,68,57
57,63,63,61
58,53,57,64
58,45,52,66
57,41,50,65
55,44,50,62
54,52,53,59
52,60,55,55
53,64,57,52
54,62,56,51
57,55,54,52
59,51,52,54
60,53,54,58
60,62,58,63
59,71,65,66
58,75,71,67
56,71,76,65
56,61,77,61
55,49,74,59
56,40,70,60
58,36,66,65
59,37,63,69
59,39,63,70
57,43,63,67
55,47,64,60
52,51,65,54
51,57,66,52
51,66,65,55
52,77,64,62
54,85,61,69
55,88,59,72
55,82,58,70
55,70,58,66
55,55,59,60
55,43,60,57
55,39,60,55
56,42,59,56
57,51,58,57
57,61,56,57
56,69,56,56
54,73,56,56
53,73,58,57
53,71,61,58
54,67,65,60
56,61,67,60
58,54,68,58
60,47,67,56
59,41,64,55
58,39,61,55
56,40,58,58
55,45,58,62
55,51,59,65
56,56,61,67
57,59,62,69
57,58,62,69
56,56,61,69
55,55,61,67
54,57,61,64
55,59,62,59
57,59,65,55
59,55,67,53
60,50,69,56
61,47,69,61
61,49,67,68
62,57,65,72
63,67,62,71
63,75,60,67
63,76,59,60
61,70,59,54
59,60,60,51
58,52,61,53
59,50,62,57
62,55,62,62
65,64,61,64
67,73,59,64
67,80,58,60
63,83,59,56
59,84,61,53
55,83,63,53
54,80,64,56
56,74,63,61
59,66,61,65
62,57,57,67
63,48,55,66
61,42,54,63
58,38,54,60
54,38,56,58
53,41,58,59
55,47,59,61
58,55,59,63
60,62,58,63
62,66,56,62
60,66,55,59
58,62,54,56
55,55,55,55
54,46,57,55
55,38,59,56
57,32,61,58
60,30,62,59
62,31,62,61
62,34,62,62
61,39,60,61
59,41,57,60
57,43,55,58
56,43,54,55
56,47,55,54
56,55,58,54
56,69,62,55
56,84,65,57
56,94,66,59
56,93,65,60
56,81,63,61
56,63,62,62
55,49,61,64
54,46,63,63
55,54,64,61
57,69,66,57
59,82,66,54
61,88,65,52
62,83,65,54
61,71,64,58
59,58,64,61
59,48,63,64
59,45,63,63
60,48,62,61
60,54,60,59
58,61,59,58
55,66,59,59
52,66,59,62
50,62,59,66
50,56,60,69
50,50,61,69
51,46,62,68
52,44,62,65
52,47,63,61
52,52,63,58
54,59,63,57
55,64,62,57
57,67,60,58
58,66,59,58
58,63,59,59
58,59,60,59
59,54,61,59
59,49,63,59
58,44,63,59
57,40,63,59
56,39,61,59
54,42,60,60
53,48,60,60
53,53,60,61
54,55,59,60
55,54,58,59
56,50,57,59
55,47,56,61
53,49,56,65
52,56,59,69
51,64,62,72
51,69,65,70
52,70,65,65
54,66,62,57
56,58,59,50
57,51,56,48
57,44,55,49
58,40,56,53
59,39,59,56
59,41,60,58
59,47,59,58
59,54,57,58
59,59,55,58
58,61,55,59
58,59,57,60
59,55,61,61
59,50,65,63
59,47,67,64
59,47,66,64
59,51,63,64
57,57,61,63
56,65,61,62
54,71,62,60
53,72,65,59
52,66,66,58
53,56,65,57
54,45,62,56
56,39,58,56
58,40,56,55
59,49,56,55
59,60,59,56
59,69,63,57
59,74,66,58
59,74,67,59
60,71,68,59
60,66,68,58
60,63,69,57
59,61,69,58
58,60,68,60
56,60,66,63
56,59,63,67
57,59,62,69
59,59,62,69
61,58,64,67
62,59,66,63
61,61,67,60
60,64,68,58
58,66,66,59
57,66,63,62
58,63,59,65
